         39783905 function calls (39783804 primitive calls) in 131.384 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 fileinput.py:260(nextfile)
        2    0.000    0.000    0.000    0.000 fileinput.py:301(_readline)
        1    0.000    0.000    0.000    0.000 fileinput.py:377(lineno)
        1    0.000    0.000    0.000    0.000 fileinput.py:78(input)
        2    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        1    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        1    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        1   18.708   18.708  131.384  131.384 licxml2dbsql.py:29(main)
   472822    0.276    0.000    0.276    0.000 licxml2dbsql.py:81(<lambda>)
        1    0.000    0.000    0.002    0.002 locale.py:1(<module>)
   723311    2.142    0.000    2.889    0.000 locale.py:396(normalize)
   723311    1.363    0.000    4.252    0.000 locale.py:479(_parse_localename)
   723311    1.513    0.000    8.710    0.000 locale.py:593(getlocale)
    24315    0.747    0.000    0.747    0.000 {built-in method _codecs.utf_8_decode}
        3    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       22    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        3    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        4    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       22    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
   723311    2.946    0.000    2.946    0.000 {built-in method _locale.setlocale}
        1    0.002    0.002    0.003    0.003 {built-in method _sqlite3.connect}
        4    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        7    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        9    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        8    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      4/1    0.000    0.000  131.384  131.384 {built-in method builtins.exec}
       40    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       18    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
  1446877    0.530    0.000    0.530    0.000 {built-in method builtins.isinstance}
7032767/7032744    2.247    0.000    2.247    0.000 {built-in method builtins.len}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       14    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       56    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       66    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        7    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        9    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       11    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        3    0.002    0.001    0.002    0.001 {built-in method io.open_code}
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        3    0.002    0.001    0.002    0.001 {built-in method marshal.loads}
        3    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
        9    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        1    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
       12    0.002    0.000    0.002    0.000 {built-in method nt.stat}
   723309    1.678    0.000   38.114    0.000 {built-in method strptime}
        8    0.000    0.000    0.000    0.000 {built-in method time.strftime}
        3    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
   723317    0.377    0.000    0.377    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method '__getitem__' of 'dict' objects}
       43    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
   591571    0.205    0.000    0.205    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        1    0.003    0.003    0.003    0.003 {method 'close' of 'sqlite3.Connection' objects}
